Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-07-06,28.108312606811523,28.355484199523925,28.387312278747558,0.0,1.0,-0.0034796405728335644,-0.0034796405728335644,-0.0034796405728335644,0.0,0.0,9533.004664823784,11618.555123415184,-0.04669953351762157,-0.049343426208158125
2015-07-07,28.03915023803711,28.331948471069335,28.39027805328369,0.0,0.0,-0.002460566372015305,-0.001,-0.002460566372015305,1.0,0.001,9523.471660158959,11589.966897387103,-0.04765283398410414,-0.0516825798049656
2015-07-08,27.343141555786133,28.277851390838624,28.38277374267578,0.0,0.0,-0.02482274520954597,-0.0,-0.02482274520954597,0.0,0.0,9523.471660158959,11302.27210210619,-0.04765283398410414,-0.07522242150424097
2015-07-09,26.785436630249023,28.17958402633667,28.368314990997316,0.0,0.0,-0.020396519704923732,-0.0,-0.020396519704923732,0.0,0.0,9523.471660158959,11071.745086465173,-0.04765283398410414,-0.09408466560670126
2015-07-10,27.501527786254883,28.120355701446535,28.359350967407227,0.0,0.0,0.026734346947220322,0.0,0.026734346947220322,0.0,0.0,9523.471660158959,11367.740960917914,-0.04765283398410414,-0.06986561075222375
2015-07-13,28.032453536987305,28.10351276397705,28.353719024658204,0.0,0.0,0.01930531841208394,0.0,0.01930531841208394,0.0,0.0,9523.471660158959,11587.198819794521,-0.04765283398410414,-0.05190907020176638
2015-07-14,28.021305084228516,28.088900566101074,28.348575515747072,0.0,0.0,-0.0003976980732021129,-0.0,-0.0003976980732021129,0.0,0.0,9523.471660158959,11582.59061315008,-0.04765283398410414,-0.052286124137767453
2015-07-15,28.291240692138672,28.08020086288452,28.34379861831665,0.0,0.0,0.009633227542356293,0.0,0.009633227542356293,0.0,0.0,9523.471660158959,11694.168344056514,-0.04765283398410414,-0.043156580726538274
2015-07-16,28.66824722290039,28.093697547912598,28.335016441345214,0.0,0.0,0.013325910124064588,0.0,0.013325910124064588,0.0,0.0,9523.471660158959,11850.003780385092,-0.04765283398410414,-0.03040577131849742
2015-07-17,28.915864944458008,28.113105964660644,28.330554428100587,0.0,0.0,0.008637351269938032,0.0,0.008637351269938032,0.0,0.0,9523.471660158959,11952.356425586373,-0.04765283398410414,-0.02203104537607059
2015-07-20,29.462413787841797,28.17411870956421,28.33906665802002,0.0,0.0,0.0189013485999332,0.0,0.0189013485999332,0.0,0.0,9523.471660158959,12178.272080977033,-0.04765283398410414,-0.0035461132448114663
2015-07-21,29.167951583862305,28.209142875671386,28.34101308822632,0.0,0.0,-0.009994503712421832,-0.0,-0.009994503712421832,0.0,0.0,9523.471660158959,12056.556295452825,-0.04765283398410414,-0.013505175315243312
2015-07-22,27.93429946899414,28.188953399658203,28.33497714996338,0.0,0.0,-0.04229478067121806,-0.0,-0.04229478067121806,0.0,0.0,9523.471660158959,11546.626891286453,-0.04765283398410414,-0.055228757558576924
2015-07-23,27.920921325683594,28.15604887008667,28.327407932281496,0.0,0.0,-0.0004789145804567907,-0.0,-0.0004789145804567907,0.0,0.0,9523.471660158959,11541.097043313122,-0.04765283398410414,-0.0556812222817783
2015-07-24,27.773679733276367,28.122586250305176,28.317766494750977,0.0,0.0,-0.00527352198338038,-0.0,-0.00527352198338038,0.0,0.0,9523.471660158959,11480.234814342884,-0.04765283398410414,-0.06066110811539427
